name,reviews,rating
Rancho Valencia Resort Spa,Best romantic vacation ever!!!!,5
Rancho Valencia Resort Spa,Sweet sweet serenity,5
Rancho Valencia Resort Spa,Amazing Property and Experience,5
Aloft Arundel Mills,"Never again...beware, if you want sleep.",2
Aloft Arundel Mills,ALWAYS GREAT STAY...,5
Aloft Arundel Mills,Wonderful stay,5
Aloft Arundel Mills,Worth the money,5
Aloft Arundel Mills,Great Hotel Experiece!,5
Aloft Arundel Mills,Short stay for business.,5
Hampton Inn Suites PortlandVancouver,Amazing employees and facilities,5
Hampton Inn Suites PortlandVancouver,I loved our stay here,5
Hampton Inn Suites PortlandVancouver,Hampton Inn - Vancouver WA,5
Hampton Inn Suites PortlandVancouver,Perfection,5
Hampton Inn Suites PortlandVancouver,Good hotel. Worth checking out.,5
Hampton Inn Suites PortlandVancouver,Excellent!,5
Hotel Phillips,Very pleased,4
Hotel Phillips,Excellent Stay,5
Hotel Phillips,Beautiful lobby but rooms need help,3
Hotel Phillips,Hotel's 1920s charm and elegance remain fresh,5
Hotel Phillips,Excellent stay,4
The Inn at Solvang,"Thank you, Garth Brooks!",5
Econolodge,Extended stay,5
Hotel Zelos,"Convenient, cute and moderately comfrotable",5
Hotel Zelos,Perfectly fine hotel for a visit to SF,4
Hotel Zelos,Great Staff!,5
Hotel Zelos,"Not so good, not so bad",3
EconoLodge,DO NOT stay here!!!!!!!!!!!,1
EconoLodge,Filthy hotel and crooked people who own it!,1
Hampton Inn Suites National HarborAlexandria Area,THE DC TRIP,4
Hampton Inn Suites National HarborAlexandria Area,Nice location,5
Hampton Inn Suites National HarborAlexandria Area,Hampton Inn,2
Hampton Inn Suites National HarborAlexandria Area,Gracious and helpful staff,5
Hampton Inn Suites National HarborAlexandria Area,"beautiful, convenient location",4
Hampton Inn Suites National HarborAlexandria Area,great!!!!!!,5
Hampton Inn Suites National HarborAlexandria Area,Awesome Stay,4
Hampton Inn Suites National HarborAlexandria Area,Reasonable price for exceptional hotel,5
Hampton Inn Suites National HarborAlexandria Area,Excellent!,5
Hampton Inn Suites National HarborAlexandria Area,Great Room,5
Hampton Inn Suites National HarborAlexandria Area,GREAT LOCATION,4
Hampton Inn Suites National HarborAlexandria Area,great stay,4
Hampton Inn Suites National HarborAlexandria Area,Best,4
Hampton Inn Suites National HarborAlexandria Area,Easter Get Away,4
Hampton Inn Suites National HarborAlexandria Area,Hampton inn,5
Hampton Inn Suites National HarborAlexandria Area,Overall it was good but AC sucks!!,5
Hampton Inn Suites National HarborAlexandria Area,Extremely comfortable,5
Hampton Inn Suites National HarborAlexandria Area,TV sucks,3
Hampton Inn Suites National HarborAlexandria Area,Will definately stay there again,5
Hampton Inn Suites National HarborAlexandria Area,Great conference stay,5
Hampton Inn Suites National HarborAlexandria Area,Nice,4
Hampton Inn Suites National HarborAlexandria Area,More than Expected,5
Hampton Inn Suites National HarborAlexandria Area,Conference stay,5
Hampton Inn Suites National HarborAlexandria Area,Amazing!,5
Hampton Inn Suites National HarborAlexandria Area,Happy in Texas.,5
Hampton Inn Suites National HarborAlexandria Area,"Great staff, great breakfast, great experience",5
Hampton Inn Suites National HarborAlexandria Area,Great hotel,5
Hampton Inn Suites National HarborAlexandria Area,Good hotel,4
Hampton Inn Suites National HarborAlexandria Area,Affordable premium lodging,5
Hampton Inn Suites National HarborAlexandria Area,"Friendly staff, large clean room.",5
Hampton Inn Suites National HarborAlexandria Area,Good place to Stay,4
Fairmont Grand Del Mar,Hosted Client Event,5
Fairmont Grand Del Mar,Splendid,5
